Name,Rating,Expertise,Number_of_Employees,Type,Age,Location,Highly_Rated_For,Critically_Rated_For
Value Point Systems,3.7,IT Services & Consulting,201-500 Employees,32 years old,Bengaluru/Bangalore +37 more,Bengaluru/Bangalore +37 more,N/A,N/A
Cotiviti,3.9,Analytics & KPO,1k-5k Employees,44 years old,Hyderabad/Secunderabad +5 more,Hyderabad/Secunderabad +5 more,"Job Security, Work Life Balance, Company Culture",N/A
Radico Khaitan,3.9,Beverage,1k-5k Employees,Public,80 years old,Patna +52 more,"Job Security, Skill Development / Learning",N/A
Tekwissen,4.8,IT Services & Consulting,201-500 Employees,14 years old,Visakhapatnam +4 more,Visakhapatnam +4 more,"Company Culture, Skill Development / Learning, Work Satisfaction",N/A
Hinduja Housing Finance,4.0,NBFC,1k-5k Employees,8 years old,Patna +106 more,Patna +106 more,Job Security,N/A
Bridgestone India Automotive Products,4.2,Auto Components,501-1k Employees,27 years old,Gurgaon/Gurugram +38 more,Gurgaon/Gurugram +38 more,"Work Life Balance, Job Security, Company Culture",N/A
Solara Active Pharma Sciences,3.7,Pharma,1k-5k Employees,Public,5 years old,Visakhapatnam +14 more,N/A,N/A
Pepperfry,3.5,Internet,1k-5k Employees,12 years old,Mumbai +34 more,Mumbai +34 more,N/A,N/A
Torry Harris Integration Solutions,4.0,IT Services & Consulting,1k-5k Employees,25 years old,Bengaluru/Bangalore +6 more,Bengaluru/Bangalore +6 more,"Work Life Balance, Job Security, Company Culture",N/A
Paramount Health Services Tpa,3.9,Internet,1k-5k Employees,21 years old,Thane +27 more,Thane +27 more,"Job Security, Skill Development / Learning, Work Life Balance",N/A
CWT,4.0,Travel & Tourism,1k-5k Employees,29 years old,Gurgaon/Gurugram +12 more,Gurgaon/Gurugram +12 more,"Work Life Balance, Job Security, Company Culture",N/A
RenewBuy,3.7,Insurance,1 Lakh+ Employees,Startup,9 years old,Patna +70 more,N/A,N/A
Fortis Escorts Hospital,4.0,Healthcare,5k-10k Employees,Public,35 years old,New Delhi +15 more,"Skill Development / Learning, Job Security, Company Culture",N/A
Lakme,4.2,Beauty & Personal Care,201-500 Employees,Public,43 years old,Patna +67 more,"Skill Development / Learning, Company Culture, Job Security",N/A
Giesecke & Devrient,3.8,IT Services & Consulting,1k-5k Employees,171 years old,Patna +42 more,Patna +42 more,"Work Life Balance, Job Security, Company Culture",N/A
URC Construction,3.5,Engineering & Construction,1k-5k Employees,67 years old,Bengaluru/Bangalore +29 more,Bengaluru/Bangalore +29 more,N/A,N/A
Waaree Energies,3.8,Power,51-200 Employees,34 years old,Surat +32 more,Surat +32 more,N/A,N/A
smartData Enterprises,3.5,IT Services & Consulting,501-1k Employees,24 years old,Mohali +8 more,Mohali +8 more,N/A,N/A
Pathkind Diagnostics Private Limited,4.0,Healthcare,501-1k Employees,7 years old,Gurgaon/Gurugram +76 more,Gurgaon/Gurugram +76 more,"Skill Development / Learning, Salary & Benefits",N/A
Waaree Energies,3.8,Power,51-200 Employees,34 years old,Mumbai +32 more,Mumbai +32 more,N/A,N/A
Alorica,3.1,BPO,1k-5k Employees,24 years old,Irvine +8 more,Irvine +8 more,N/A,"Promotions / Appraisal, Job Security, Company Culture"
Federal Mogul Goetze,4.1,Auto Components,1k-5k Employees,Public,69 years old,Gurgaon/Gurugram +26 more,"Job Security, Work Life Balance, Company Culture",N/A
smartData Enterprises,3.5,IT Services & Consulting,501-1k Employees,24 years old,White Plains +8 more,White Plains +8 more,N/A,N/A
NLC,4.4,Metals & Mining,10k-50k Employees,Fortune India 500,67 years old,Chennai +10 more,"Work Life Balance, Salary & Benefits, Work Satisfaction",N/A
Medica Superspecialty Hospital,3.5,Healthcare,1k-5k Employees,15 years old,Kolkata +18 more,Kolkata +18 more,N/A,Promotions / Appraisal
Alight Solutions,3.9,IT Services & Consulting,1k-5k Employees,27 years old,Lincolnshire +12 more,Lincolnshire +12 more,"Job Security, Work Life Balance, Company Culture",N/A
ICFAI University,3.9,Education & Training,1k-5k Employees,20 years old,Dehradun +56 more,Dehradun +56 more,N/A,N/A
Hexagon Nutrition,4.0,Food Processing,501-1k Employees,30 years old,Mumbai +28 more,Mumbai +28 more,"Skill Development / Learning, Work Life Balance, Work Satisfaction",N/A
Razorpay,3.9,FinTech,1k-5k Employees,Indian Unicorn,9 years old,Bangalore +19 more,Company Culture,N/A
PropTiger.com,4.1,Internet,1k-5k Employees,12 years old,Gurgaon +14 more,Gurgaon +14 more,"Salary & Benefits, Company Culture, Skill Development / Learning",N/A
Sapphire Foods India,4.0,Retail,5k-10k Employees,8 years old,Mumbai +49 more,Mumbai +49 more,"Skill Development / Learning, Company Culture, Salary & Benefits",N/A
Vijay Nirman Company,3.8,Engineering & Construction,5k-10k Employees,41 years old,Visakhapatnam/Vizag +31 more,Visakhapatnam/Vizag +31 more,"Job Security, Skill Development / Learning",N/A
Mars International India,4.2,Food Processing,1k-5k Employees,29 years old,McLean +65 more,McLean +65 more,"Company Culture, Salary & Benefits, Skill Development / Learning",N/A
Pinnacle Infotech,3.6,IT Services & Consulting,1k-5k Employees,31 years old,Houston +16 more,Houston +16 more,"Job Security, Skill Development / Learning",N/A
S P Singla Constructions,3.8,Engineering & Construction,501-1k Employees,27 years old,Panchkula +48 more,Panchkula +48 more,N/A,N/A
Allied Blenders & Distillers,4.0,Beverage,501-1k Employees,37 years old,Mumbai +64 more,Mumbai +64 more,"Job Security, Work Life Balance, Company Culture",N/A
Andritz,3.8,Industrial Machinery,1k-5k Employees,27 years old,Graz +16 more,Graz +16 more,N/A,N/A
Prestige Group,4.2,Real Estate,1k-5k Employees,37 years old,Bengaluru +21 more,Bengaluru +21 more,"Job Security, Company Culture, Work Life Balance",N/A
Transrail Lighting,3.9,Electronics Manufacturing,501-1k Employees,15 years old,Mumbai +57 more,Mumbai +57 more,Job Security,N/A
North East Small Finance Bank,4.0,Banking,1k-5k Employees,7 years old,Guwahati +56 more,Guwahati +56 more,"Job Security, Skill Development / Learning, Work Life Balance",N/A
McCain Foods,4.2,Food Processing,501-1k Employees,27 years old,Toronto +54 more,Toronto +54 more,"Company Culture, Salary & Benefits, Work Life Balance",N/A
Srei Equipment Finance,4.4,Financial Services,1k-5k Employees,Public,34 years old,Kolkata +75 more,"Work Life Balance, Company Culture, Work Satisfaction",N/A
BKT Tyres,4.0,Auto Components,1k-5k Employees,35 years old,Mumbai +25 more,Mumbai +25 more,"Job Security, Salary & Benefits",N/A
Honeywell International India,4.1,Defence & Aerospace,10k-50k Employees,Forbes Global 2000,117 years old,Charlotte +20 more,"Skill Development / Learning, Company Culture, Work Life Balance",N/A
Suroj Buildcon,4.1,Engineering & Construction,1k-5k Employees,10 years old,Pune +31 more,Pune +31 more,"Job Security, Company Culture, Skill Development / Learning",N/A
Supertech,3.8,Real Estate,1k-5k Employees,35 years old,Noida +18 more,Noida +18 more,"Job Security, Work Life Balance",N/A
TTK Healthcare,4.2,Healthcare,1k-5k Employees,Public,95 years old,Chennai +63 more,"Job Security, Work Life Balance, Company Culture",N/A
RR,4.1,N/A,N/A,N/A,N/A,N/A,"Job Security, Company Culture, Work Life Balance",N/A
PayU Payments,3.8,FinTech,1k-5k Employees,Conglomerate,21 years old,Amsterdam +14 more,N/A,N/A
Zycus Infotech,3.3,Software Product,1k-5k Employees,22 years old,Princeton +5 more,Princeton +5 more,Job Security,Job Security
F1 Info Solutions Services,3.7,IT Services & Consulting,201-500 Employees,22 years old,Mumbai +41 more,Mumbai +41 more,N/A,N/A
SG Analytics,3.6,Analytics & KPO,1k-5k Employees,17 years old,Pune +6 more,Pune +6 more,N/A,N/A
Avery Dennison,3.9,Packaging,1k-5k Employees,Forbes Global 2000,28 years old,Glendale +29 more,"Company Culture, Work Life Balance",N/A
India Post,3.8,Government,1 Lakh+ Employees,Public,169 years old,Mysore/Mysuru +139 more,"Job Security, Work Life Balance",N/A
UDAAN CARGO & LOGISTICS,4.1,Logistics,201-500 Employees,8 years old,New Delhi +73 more,New Delhi +73 more,"Skill Development / Learning, Work Life Balance, Work Satisfaction",N/A
Lido Learning,2.2,EdTech,201-500 Employees,Startup,4 years old,Mumbai +17 more,N/A,"Job Security, Work Satisfaction, Company Culture"
Jindal Poly Films,3.6,Packaging,1k-5k Employees,Public,49 years old,Delhi/NCR +10 more,N/A,N/A
IDP Education Limited,4.0,EdTech,1k-5k Employees,28 years old,Melbourne +45 more,Melbourne +45 more,"Job Security, Work Life Balance, Company Culture",N/A
Capital Foods,3.9,Food Processing,1k-5k Employees,27 years old,Mumbai +58 more,Mumbai +58 more,Salary & Benefits,N/A
Varuna Integrated Logistics,3.8,Logistics,1k-5k Employees,27 years old,Gurgaon/Gurugram +47 more,Gurgaon/Gurugram +47 more,Job Security,N/A
UDAAN CARGO & LOGISTICS,4.1,Logistics,201-500 Employees,8 years old,New Delhi +73 more,New Delhi +73 more,"Skill Development / Learning, Work Life Balance, Work Satisfaction",N/A
Lido Learning,2.2,EdTech,201-500 Employees,Startup,4 years old,Mumbai +17 more,N/A,"Job Security, Work Satisfaction, Company Culture"
Global Autotech,3.8,Auto Components,201-500 Employees,18 years old,Greater Noida +8 more,Greater Noida +8 more,Skill Development / Learning,N/A
National Payments Corporation of India,3.5,FinTech,1k-5k Employees,13 years old,Mumbai +9 more,Mumbai +9 more,"Job Security, Skill Development / Learning",N/A
DB Schenker,4.2,Logistics,1k-5k Employees,Conglomerate,33 years old,Essen +30 more,"Company Culture, Job Security, Skill Development / Learning",N/A
Ramada,3.9,Hospitality,1k-5k Employees,13 years old,Gurgaon/Gurugram +43 more,Gurgaon/Gurugram +43 more,N/A,N/A
Consulting Engineers Group,4.3,Engineering & Construction,1k-5k Employees,Public,39 years old,Jaipur +52 more,"Work Life Balance, Company Culture, Work Satisfaction",N/A
Kaya Skin Clinic,4.1,Beauty & Personal Care,501-1k Employees,Public,20 years old,Mumbai +34 more,"Skill Development / Learning, Job Security, Company Culture",N/A
Mavenir Systems,3.7,Software Product,1k-5k Employees,6 years old,Richardson +16 more,Richardson +16 more,Salary & Benefits,N/A
Mahendra’s Institute,3.3,Education & Training,201-500 Employees,15 years old,Lucknow +86 more,Lucknow +86 more,N/A,"Promotions / Appraisal, Job Security, Salary & Benefits"
Amazon Sellers Services,4.2,N/A,N/A,N/A,N/A,N/A,"Salary & Benefits, Company Culture, Skill Development / Learning",N/A
Prime Focus Technologies,3.4,Software Product,201-500 Employees,15 years old,Mumbai +13 more,Mumbai +13 more,N/A,"Promotions / Appraisal, Salary & Benefits"
Iron Mountain Inc,4.0,IT Services & Consulting,1k-5k Employees,72 years old,Boston +35 more,Boston +35 more,"Company Culture, Work Life Balance",N/A
Alpla,4.1,Packaging,501-1k Employees,68 years old,Hard +15 more,Hard +15 more,"Job Security, Skill Development / Learning, Company Culture",N/A
Hero Cycles,3.4,Automobile,5k-10k Employees,Public,67 years old,Gurgaon/Gurugram +36 more,N/A,Promotions / Appraisal
Wood Group,4.1,Oil & Gas,51-200 Employees,111 years old,Aberdeen City +23 more,Aberdeen City +23 more,"Job Security, Company Culture, Work Life Balance",N/A
Uppcl,4.0,Power,10k-50k Employees,Public,24 years old,Lucknow +69 more,"Skill Development / Learning, Work Life Balance",N/A
Gujarat Heavy Chemicals,4.0,Chemicals,1k-5k Employees,Public,40 years old,Noida +20 more,"Work Life Balance, Job Security, Company Culture",N/A
Suprajit Engineering,3.7,Auto Components,501-1k Employees,Public,38 years old,Bangalore/Bengaluru +26 more,Job Security,N/A
Tata International,3.8,Metals & Mining,1k-5k Employees,Public,61 years old,Mumbai +34 more,Job Security,N/A
MCM Telecom Equipment,3.9,Hardware & Networking,201-500 Employees,8 years old,Noida +3 more,Noida +3 more,Skill Development / Learning,N/A
Sterling,3.9,Healthcare,5k-10k Employees,56 years old,Mumbai +43 more,Mumbai +43 more,"Work Life Balance, Skill Development / Learning",N/A
Cashify,3.7,Internet,501-1k Employees,Startup,10 years old,Gurgaon +37 more,N/A,N/A
Portea Medical,3.8,Healthcare,501-1k Employees,Startup,10 years old,Bangalore +29 more,N/A,N/A
SPAR Hypermarkets,4.3,Retail,1k-5k Employees,16 years old,Bangalore/Bengaluru +24 more,Bangalore/Bengaluru +24 more,"Company Culture, Job Security, Salary & Benefits",N/A
Glenmark Life Sciences,3.7,Pharma,201-500 Employees,Public,46 years old,Mumbai +14 more,Job Security,N/A
B. Braun Medical,3.9,Healthcare,501-1k Employees,184 years old,Melsungen +39 more,Melsungen +39 more,"Skill Development / Learning, Work Life Balance, Job Security",N/A
National Bulk Handling Corporation,4.0,Agriculture,1k-5k Employees,20 years old,Mumbai +62 more,Mumbai +62 more,"Company Culture, Work Life Balance, Skill Development / Learning",N/A
Koch Business Solutions,3.7,Oil & Gas,1k-5k Employees,83 years old,Wichita +5 more,Wichita +5 more,N/A,N/A
Del Monte Foods,4.0,Food Processing,201-500 Employees,137 years old,San Francisco +44 more,San Francisco +44 more,"Work Life Balance, Job Security, Company Culture",N/A
Blackrock,4.0,Management Consulting,1k-5k Employees,Forbes Global 2000,19 years old,New York City +10 more,"Company Culture, Job Security, Work Life Balance",N/A
Bhilosa Industries,3.7,Fashion & Textile,5k-10k Employees,35 years old,Mumbai +8 more,Mumbai +8 more,N/A,N/A
Unimoni,3.8,FinTech,1k-5k Employees,17 years old,Abu Dhabi +91 more,Abu Dhabi +91 more,Work Life Balance,N/A
Welspun Corp,3.9,Iron & Steel,5k-10k Employees,Fortune India 500,38 years old,Mumbai +17 more,Skill Development / Learning,N/A
Flamingo Pharmaceuticals,3.2,Pharma,501-1k Employees,Public,38 years old,Mumbai +10 more,N/A,"Salary & Benefits, Promotions / Appraisal"
GTL Infrastructure,4.5,Hardware & Networking,1k-5k Employees,Public,19 years old,Mumbai +41 more,"Work Life Balance, Company Culture, Job Security",N/A
Serum Institute of India,4.2,Biotechnology,1k-5k Employees,57 years old,Pune +15 more,Pune +15 more,"Job Security, Work Life Balance, Salary & Benefits",N/A
Vimta Labs,3.5,Healthcare,1k-5k Employees,Public,39 years old,Hyderabad/Secunderabad +22 more,N/A,N/A
Ramkrishna Forgings,3.8,Railways,1k-5k Employees,Public,42 years old,Kolkata +15 more,N/A,N/A
Vimta Labs,3.5,Healthcare,1k-5k Employees,Public,39 years old,Hyderabad/Secunderabad +22 more,N/A,N/A
ANAROCK Property Consultants,3.7,Real Estate,1k-5k Employees,6 years old,Mumbai +23 more,Mumbai +23 more,Company Culture,N/A
JSW Paints,4.0,Chemicals,51-200 Employees,7 years old,Mumbai +71 more,Mumbai +71 more,"Job Security, Company Culture, Skill Development / Learning",N/A
HealthifyMe,3.2,Fitness & Wellness,1k-5k Employees,Startup,11 years old,Bangalore/Bengaluru +9 more,N/A,"Job Security, Promotions / Appraisal, Work Life Balance"
CSG International,4.2,Software Product,1k-5k Employees,29 years old,Englewood +5 more,Englewood +5 more,"Job Security, Company Culture, Work Life Balance",N/A
Gionee,4.2,Consumer Electronics & Appliances,501-1k Employees,10 years old,Shenzhen +98 more,Shenzhen +98 more,"Skill Development / Learning, Salary & Benefits, Work Satisfaction",N/A
Toyota,4.4,Automobile,5k-10k Employees,86 years old,Toyota City +82 more,Toyota City +82 more,"Company Culture, Skill Development / Learning, Work Life Balance",N/A
Siyaram Silk Mills,3.8,Fashion & Textile,1k-5k Employees,Public,45 years old,Mumbai +31 more,N/A,N/A
Agility,4.1,Logistics,1k-5k Employees,44 years old,Sulaibiya +37 more,Sulaibiya +37 more,"Work Life Balance, Company Culture, Work Satisfaction",N/A
Kokilaben Dhirubhai Ambani Hospital,3.8,Healthcare,1k-5k Employees,14 years old,Mumbai +14 more,Mumbai +14 more,Skill Development / Learning,N/A
Heavy Engineering Industries & Shipbuilding,4.0,N/A,N/A,N/A,N/A,N/A,"Skill Development / Learning, Salary & Benefits, Work Satisfaction",N/A
Brainvire,4.2,IT Services & Consulting,201-500 Employees,23 years old,Irving +7 more,Irving +7 more,"Job Security, Skill Development / Learning, Salary & Benefits",N/A
Allegis Group,3.7,Recruitment,501-1k Employees,40 years old,Hanover +11 more,Hanover +11 more,N/A,N/A
Fujiyama Power System,3.5,Power,51-200 Employees,27 years old,Delhi/NCR +46 more,Delhi/NCR +46 more,N/A,N/A
Ssipl Lifestyle,3.8,Retail,1k-5k Employees,29 years old,Delhi/NCR +40 more,Delhi/NCR +40 more,N/A,N/A
Google Operations Center,3.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dineshchandra R Agarwal Infracon,4.1,Engineering & Construction,11-50 Employees,51 years old,Ahmedabad +46 more,Ahmedabad +46 more,"Work Satisfaction, Salary & Benefits, Work Life Balance",N/A
Jaypee Cement,4.2,Building Material,1k-5k Employees,27 years old,Solan +67 more,Solan +67 more,"Job Security, Work Life Balance, Company Culture",N/A
Labournet Services,3.9,Non-Profit,51-200 Employees,17 years old,Bangalore +50 more,Bangalore +50 more,Work Life Balance,N/A
Evelyn Learning Systems,3.9,EdTech,1k-5k Employees,Startup,10 years old,Delhi/NCR +8 more,Company Culture,N/A
DFM Foods,4.0,FMCG,501-1k Employees,Public,40 years old,Delhi/NCR +53 more,"Salary & Benefits, Company Culture",N/A
Excitel Broadband,3.7,Telecom,1k-5k Employees,8 years old,Delhi +32 more,Delhi +32 more,N/A,N/A
Navin Fluorine International,4.0,Chemicals,501-1k Employees,Public,56 years old,Mumbai +11 more,"Job Security, Work Life Balance, Salary & Benefits",N/A
Subex,3.4,Emerging Technologies,501-1k Employees,Public,31 years old,Bangalore/Bengaluru +7 more,N/A,Promotions / Appraisal
SABIC,4.1,Chemicals,1k-5k Employees,47 years old,Riyadh +16 more,Riyadh +16 more,"Work Life Balance, Company Culture, Job Security",N/A
Wissen Infotech,4.0,IT Services & Consulting,1k-5k Employees,23 years old,Hyderabad/Secunderabad +9 more,Hyderabad/Secunderabad +9 more,"Work Life Balance, Skill Development / Learning, Company Culture",N/A
